Id,SalePrice
1461,116566.58893291246
1462,152579.84605308165
1463,177830.61193137724
1464,196809.11430027554
1465,174239.88676195758
1466,167237.20076172985
1467,183148.08755026295
1468,160252.44189214337
1469,185339.27357067532
1470,113147.24830291413
1471,196567.69957247513
1472,101087.3838715402
1473,95240.9470646048
1474,144869.12511918982
1475,115997.1964202524
1476,346670.6627981766
1477,231589.51476706637
1478,282462.6857173674
1479,276763.476898805
1480,513448.92343819747
1481,314963.6373267417
1482,196477.60959710175
1483,180459.87835425782
1484,156893.90667397238
1485,184189.272426401
1486,196500.34370675345
1487,315890.80954044143
1488,227163.72882607597
1489,183187.03367596742
1490,222324.12921953795
1491,187976.94259533074
1492,88695.16823409067
1493,184571.03175190368
1494,296165.50435483985
1495,283526.99229263834
1496,226637.35618348155
1497,175140.0503441044
1498,156050.57392659897
1499,153337.82031302323
1500,149091.36188421777
1501,160012.26523691113
1502,148311.29395512494
1503,275416.1883414012
1504,236120.75255086488
1505,221054.637886664
1506,192998.54030791883
1507,253031.75860816843
1508,205260.12565287962
1509,154107.76412331653
1510,134518.5655479817
1511,143097.10111580158
1512,167014.8982979935
1513,139706.5315430513
1514,156167.47331136494
1515,200240.7978076498
1516,154523.0137065234
1517,173461.13909275446
1518,136296.4460446631
1519,207338.99071553224
1520,121065.93357855
1521,127277.8299778348
1522,167549.32490548276
1523,102922.05218474535
1524,123685.12541817962
1525,111849.21149252684
1526,104373.44927865155
1527,98061.1481645947
1528,151831.47170494447
1529,142172.26407000737
1530,175109.6835720704
1531,100994.96999336535
1532,102111.53036631932
1533,157780.03511301093
1534,131980.43039103
1535,162573.48578435788
1536,107486.99248028893
1537,55052.237370461815
1538,144022.23948115454
1539,201922.97024370483
1540,88482.72437160058
1541,139604.2263117892
1542,142295.1519332827
1543,176535.31033961065
1544,85908.0107792759
1545,104753.04661321355
1546,127004.5646047853
1547,120371.60454625069
1548,129079.93648044982
1549,113493.08140908001
1550,123761.61577656778
1551,118947.54068414128
1552,123410.0073987275
1553,136605.21636878874
1554,121437.78519185161
1555,162832.68984680081
1556,77488.13467919968
1557,92253.84554557882
1558,102408.51340913869
1559,68366.27610214952
1560,142263.90081023923
1561,118389.82606577699
1562,132241.0094949622
1563,114349.6799047854
1564,158878.3947025827
1565,134758.0177395051
1566,252206.58278561645
1567,75099.31071861282
1568,235093.2368548934
1569,131066.09658216196
1570,141070.2415793783
1571,119554.17567778089
1572,147292.52518987592
1573,247045.15279012264
1574,110404.76575310623
1575,214373.81281346854
1576,249913.2246758293
1577,170009.09487112044
1578,143225.26841925998
1579,132984.25604530086
1580,191386.78725779595
1581,163247.5397393981
1582,120590.31969877014
1583,310202.02563515713
1584,217206.3246729271
1585,136572.6110169389
1586,66665.67268476875
1587,96243.93508979915
1588,142346.11418827737
1589,88623.53742326976
1590,137720.13885033422
1591,89789.19029522073
1592,115821.11009348034
1593,120003.61610222893
1594,128631.62390477382
1595,97899.22405206271
1596,204588.90542470236
1597,177445.2159430951
1598,203815.54109155654
1599,173630.98983213512
1600,164666.2200562559
1601,65666.87205544492
1602,110457.45980534563
1603,86428.65691674058
1604,245446.28193083612
1605,244491.6240652059
1606,173236.05560722091
1607,191994.2747491334
1608,207726.11374480856
1609,175563.14753918175
1610,140713.3157286317
1611,130765.2750942635
1612,167054.8392828054
1613,162437.50925662028
1614,126283.9887698437
1615,99243.14023835066
1616,81503.40423877806
1617,95632.09827231464
1618,123405.5672996552
1619,141462.93792376982
1620,152192.29188748822
1621,133144.50125712485
1622,138951.54188330757
1623,261676.41776668336
1624,218195.84433435494
1625,117074.12027333946
1626,168393.89740160125
1627,190227.341456668
1628,285131.92424315313
1629,166839.84270208378
1630,359552.75559745176
1631,206291.52953403667
1632,223418.10884866634
1633,165336.047395687
1634,178017.7288810165
1635,171883.1914245729
1636,148868.77036351006
1637,189440.3212774765
