datetime,count
2011-01-20 00:00:00,13.03
2011-01-20 01:00:00,7.16
2011-01-20 02:00:00,6.17
2011-01-20 03:00:00,3.75
2011-01-20 04:00:00,3.23
2011-01-20 05:00:00,7.28
2011-01-20 06:00:00,36.81
2011-01-20 07:00:00,89.54
2011-01-20 08:00:00,196.2
2011-01-20 09:00:00,118.87
2011-01-20 10:00:00,59.98
2011-01-20 11:00:00,65.07
2011-01-20 12:00:00,80.39
2011-01-20 13:00:00,72.15
2011-01-20 14:00:00,76.92
2011-01-20 15:00:00,80.55
2011-01-20 16:00:00,99.27
2011-01-20 17:00:00,195.22
2011-01-20 18:00:00,161.63
2011-01-20 19:00:00,102.6
2011-01-20 20:00:00,70.36
2011-01-20 21:00:00,47.7
2011-01-20 22:00:00,39.33
2011-01-20 23:00:00,24.6
2011-01-21 00:00:00,14.93
2011-01-21 01:00:00,6.45
2011-01-21 02:00:00,6.64
2011-01-21 03:00:00,3.18
2011-01-21 04:00:00,2.52
2011-01-21 05:00:00,5.27
2011-01-21 06:00:00,34.34
2011-01-21 07:00:00,89.14
2011-01-21 08:00:00,177.52
2011-01-21 09:00:00,119.47
2011-01-21 10:00:00,45.4
2011-01-21 11:00:00,54.9
2011-01-21 12:00:00,61.36
2011-01-21 13:00:00,59.85
2011-01-21 14:00:00,56.67
2011-01-21 15:00:00,55.52
2011-01-21 16:00:00,74.91
2011-01-21 17:00:00,154.23
2011-01-21 18:00:00,153.75
2011-01-21 19:00:00,103.75
2011-01-21 20:00:00,63.48
2011-01-21 21:00:00,45.42
2011-01-21 22:00:00,31.53
2011-01-21 23:00:00,21.67
2011-01-22 00:00:00,31.93
2011-01-22 01:00:00,24.47
2011-01-22 02:00:00,17.69
2011-01-22 03:00:00,11.06
2011-01-22 04:00:00,2.62
2011-01-22 06:00:00,6.32
2011-01-22 07:00:00,26.15
2011-01-22 08:00:00,34.99
2011-01-22 09:00:00,46.12
2011-01-22 10:00:00,65.97
2011-01-22 11:00:00,67.97
2011-01-22 12:00:00,81.14
2011-01-22 13:00:00,85.69
2011-01-22 14:00:00,84.41
2011-01-22 15:00:00,86.36
